pool_id,location,sample_type,sampling_date,order,family,genus,species,description,location_pool_id
4,North Campus Open Space,CORE,1-May-19,Ostracod,Cyprididae,Cyprettinae?,NA,tan,North Campus Open Space - 4
4,North Campus Open Space,CORE,1-May-19,Ostracod,Cyprididae,NA,NA,"long, white",North Campus Open Space - 4
4,North Campus Open Space,CORE,1-May-19,Ostracod,Cyprididae,NA,NA,"bean, green",North Campus Open Space - 4
4,North Campus Open Space,SW1,1-May-19,Ostracod,Cyprididae,NA,NA,"long, white",North Campus Open Space - 4
4,North Campus Open Space,SW1,1-May-19,Ostracod,NA,NA,NA,"bean, green",North Campus Open Space - 4
Santa Rosa,Manzanita Village,FB250,2-May-19,Ostracod,Cyprididae,NA,NA,"bean, white",Manzanita Village - Santa Rosa
Santa Rosa,Manzanita Village,FB250,2-May-19,Ostracod,Cyprididae,NA,NA,"fat bean, white",Manzanita Village - Santa Rosa
Santa Rosa,Manzanita Village,FB250,2-May-19,Ostracod,Cyprididae,NA,NA,"bean, white green",Manzanita Village - Santa Rosa
Santa Rosa,Manzanita Village,FB250,2-May-19,Ostracod,Cyprididae,NA,NA,"bean, green",Manzanita Village - Santa Rosa
Santa Rosa,Manzanita Village,FB250,2-May-19,Ostracod,NA,NA,NA,"semicircle, bluegreen",Manzanita Village - Santa Rosa
Santa Rosa,Manzanita Village,FB250,2-May-19,Ostracod,Cyprididae?,NA,NA,"bean, beige",Manzanita Village - Santa Rosa
Santa Rosa,Manzanita Village,FB250,2-May-19,Ostracod,Cyprididae,NA,NA,"trianlge, green",Manzanita Village - Santa Rosa
North Campus Open Space - 1,NA,SW1,28-Jan-19,Ostracod,Cyprididae,NA,NA,"bean, white",North Campus Open Space - 1
North Campus Open Space - 1,NA,SW1,28-Jan-19,Ostracod,Cyprididae,NA,NA,"bean, white",North Campus Open Space - 1
North Campus Open Space - 1,NA,SW1,28-Jan-19,Ostracod,Cyprididae,NA,NA,"bean, green",North Campus Open Space - 1
