objectid,location,pool_id,notes,gps_date,gps_time,acres,global_id,shape_area,shape_length,area,location_pool_id
73,South Parcel,6,NA,1/30/19 8:00,10:32:22,0.060590865,449df468-c2e9-4a66-897a-93794a3069eb,2639.326172,189.4605336,245.2016622,South Parcel - 6
74,South Parcel,7,NA,1/30/19 8:00,10:36:22,0.131695226,56af8fe1-c9bd-47fa-a3c9-373e94ecbc53,5736.626953,538.0006862,532.9505991,South Parcel - 7
75,South Parcel,8,NA,1/30/19 8:00,10:40:54,0.034479216,a5bbae0b-f292-4f47-9571-60522d73abce,1501.913086,176.6866851,139.5324265,South Parcel - 8
76,South Parcel,9,NA,1/30/19 8:00,10:42:56,0.019360902,6af3de60-081d-4fd8-8f34-eeaac6d9f795,843.3574219,121.1763402,78.35054412,South Parcel - 9
80,Manzanita Village,Santa Catalina,NA,NA,NA,0.046184445,6602d9a7-0106-44ce-8188-f8faa414ba7c,2011.788086,185.6288809,186.9014099,Manzanita Village - Santa Catalina
82,Manzanita Village,Santa Cruz,NA,NA,NA,0.032009199,a56b7af7-7614-4adf-9e1d-e65316a5d777,1394.318359,142.3230789,129.5365397,Manzanita Village - Santa Cruz
83,Manzanita Village,Santa Rosa,NA,NA,NA,0.067386714,a54f335b-66bf-43ef-9e7e-8ccbb60fc4e7,2935.352539,202.4603766,272.7034383,Manzanita Village - Santa Rosa
84,Manzanita Village,San Miguel,NA,NA,NA,0.06914394,13af628c-35cc-4b89-baa5-5ddfb08632f2,3011.898438,229.1381705,279.8147918,Manzanita Village - San Miguel
85,North Campus Open Space,1,NA,NA,NA,0.337816744,577addfc-76e5-4c6e-945c-81861989eabf,14715.24512,434.118822,1367.092329,North Campus Open Space - 1
86,North Campus Open Space,2,NA,NA,NA,0.13444385,7b5e047f-e5ec-4a48-b2f1-6933ab1c084d,5856.361328,276.9964926,544.0742972,North Campus Open Space - 2
87,North Campus Open Space,3,NA,NA,NA,0.267190956,d81cf887-0332-4b35-ae8d-82374a0abc40,11638.7959,413.7929896,1081.280567,North Campus Open Space - 3
88,North Campus Open Space,4,NA,NA,NA,0.165347168,1b6fd74c-a0a9-4523-9e2e-c319dfd3db32,7202.49707,315.3342262,669.134521,North Campus Open Space - 4
89,North Campus Open Space,5,NA,NA,NA,0.089560301,a161eea1-7164-4628-b9db-5c8c5a0ecb2d,3901.227539,229.2066926,362.4362489,North Campus Open Space - 5
90,North Campus Open Space,6,NA,NA,NA,0.087890606,05ddc2cc-c42a-4e30-9564-eeef6651d057,3828.50293,225.7126411,355.679905,North Campus Open Space - 6
91,North Campus Open Space,7,NA,NA,NA,0.133655668,c14fffc1-8868-420d-9009-114eb0204037,5822.023438,291.6126937,540.8841997,North Campus Open Space - 7
92,North Campus Open Space,8,NA,NA,NA,0.061118171,2889488b-6380-459c-83fc-45be0f365484,2662.296875,219.7398376,247.3357124,North Campus Open Space - 8
94,West Campus,13,NA,7/10/19 8:00,15:01:30,NA,da6f09d2-586d-4816-9dae-cf693ddd5031,608.6845703,93.64593256,56.54870171,West Campus - 13
93,Ellwood Mesa,Reference,NA,5/31/19 8:00,15:44:06,NA,9cdb7994-77c0-435a-ac7c-a7c8e5dbdfb0,2313.526367,182.3714394,214.9318438,Ellwood Mesa - Reference
